file,file_path,avg_positive,avg_negative,positive_count,negative_count,num_sentences
"$11.86 Billion Loans to China PEKING, Aug. 24 (AP) -.txt","/content/drive/MyDrive/extracted_files/reagan_81-88/$11.86 Billion Loans to China PEKING, Aug. 24 (AP) -.txt",0.9688913226127625,0.9460494915644327,4,3,7
$550 MILLION CHINA LOAN IS APPROVED BY I.M.F.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/$550 MILLION CHINA LOAN IS APPROVED BY I.M.F.txt,0.9041772931814194,0.9154630253712336,8,12,20
13 Officials From Tibet on Two-Week U.S. Tour.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/13 Officials From Tibet on Two-Week U.S. Tour.txt,0.7559792399406433,0.9799140606607709,2,7,9
160 U.S. SCHOLARS IN APPEAL TO CHINA.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/160 U.S. SCHOLARS IN APPEAL TO CHINA.txt,0.9441053186144147,0.960860550403595,14,14,28
18 From Council of Churches Plan November Visit to China.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/18 From Council of Churches Plan November Visit to China.txt,0.9866291582584381,,4,0,4
2 American Tourists Are Still in Chinese Custody.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/2 American Tourists Are Still in Chinese Custody.txt,0.9925117492675781,0.9575561583042145,6,16,22
2 ARRESTED IN SILICON VALLEY THEFT CASE.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/2 ARRESTED IN SILICON VALLEY THEFT CASE.txt,0.7094587981700897,0.9492466335113232,2,26,28
"2 CLING TO CHINA, EVEN AFTER 21 YEARS OF NO CHOICE.txt","/content/drive/MyDrive/extracted_files/reagan_81-88/2 CLING TO CHINA, EVEN AFTER 21 YEARS OF NO CHOICE.txt",0.9548675205026355,0.9679346064041401,28,29,57
2 LEADERS FOLLOWED PARALLEL CAREERS WITH CONTRASTING STYLES.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/2 LEADERS FOLLOWED PARALLEL CAREERS WITH CONTRASTING STYLES.txt,0.995845377445221,0.9238251199324926,15,12,27
2 PAPERS QUOTE JAPANESE LEADER ON ABILITIES OF MINORITIES IN U.S.txt,/content/drive/MyDrive/extracted_files/reagan_81-88/2 PAPERS QUOTE JAPANESE LEADER ON ABILITIES OF MINORITIES IN U.S.txt,0.9635846972465515,0.9708518033677881,5,22,27
"20 YEARS LATER, INDONESIA MOVES TO MAKE PEACE WITH ITS PAST.txt","/content/drive/MyDrive/extracted_files/reagan_81-88/20 YEARS LATER, INDONESIA MOVES TO MAKE PEACE WITH ITS PAST.txt",0.9866249312957128,0.9562117755413055,12,12,24
