file,text,topic_cluster_id,topic_label,era,era_label,topic_category,topic_category_label
"5 Countries to Meet on Reviving Cambodia Peace Talks, Paris Says.txt","ï»¿
Amid new concern over stepped-up attacks by Khmer Rouge guerrillas, the United States, the Soviet Union, China, France and Britain are to meet here on Monday to discuss ways of reviving stalled peace efforts on Cambodia.
Announcing the meeting today, a French Government spokesman said the five Governments would give special attention to an Australian plan to put Cambodia under a temporary United Nations administration pending free elections.
Diplomats said the meeting was proposed by Washington and immediately endorsed by Moscow. 
As permanent members of the United Nations Security Council, the five powers have special responsibilities for international peace and security under the United Nations Charter.
''There has been a lot of talk of an enhanced role for the U.N. in Cambodia,'' a United States official said. 
''The situation on the ground makes it more urgent. 
The United States has been trying to get the diplomatic track going again for some time.''
Â 
Talks and a Surge in Fighting
A monthlong 19-nation peace conference on Cambodia ended in failure here in August amid sharp differences between the Vietnamese-backed Government of Prime Minister Hun Sen, which controls Phnom Penh, and three loosely allied rebel groups, including the Khmer Rouge.
At the time, officials said they did not expect new peace talks until after the warring factions had tested their strength anew during the current six-month dry season and, in particular, in the wake of the withdrawal of Vietnamese troops last September.
But diplomats said peace efforts are now being renewed in response to a surge of fighting and assertions of major victories by the Khmer Rouge, which brought terror to Cambodia during the rule of Pol Pot from 1975 to late 1978. 
More than a million Cambodians died under the Khmer Rouge rule.
In recent days, the Khmer Rouge radio has asserted that its rebels launched a major attack on Battambang, Cambodia's second largest city, and grenade attacks on Phnom Penh. 
Reports from Cambodia confirmed an increase in rebel activities, but said the Khmer Rouge assertions were exaggerated.
Â 
China Favors Sihanouk Plan
A senior Australian official, Michael Costello, reportedly met Prime Minister Hun Sen over the weekend to explain his Government's peace plan. 
He then flew to Bangkok for talks with Chinese, Indonesian and Vietnamese officials. 
Mr. Costello is expected to arrive in Paris on Thursday.
The Australian plan, modeled after a similar formula that enabled Namibia to hold free elections and end its occupation by South Africa last year, has been welcomed by the United States, France, Britain and the Soviet Union.
But China, which supports the Khmer Rouge, has said it favors a plan put forward by the former Cambodian ruler, Prince Norodom Sihanouk, involving formation of a four-party coalition government comprising the three rebel groups and the Hun Sen regime to rule until free elections are held.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
"ALL P.O.W._s FREED, EX-ADMIRAL SAYS.txt","ï»¿
James B. Stockdale, who ran as Ross Perot's Vice-Presidential candidate, said today that he is convinced that no American prisoners of war were left behind in North Vietnam when the United States pulled out its ground forces in 1973.
Mr. Stockdale, a former Naval aviator who was the highest-ranking American held by the Vietnamese at the Hoa Lo prison in Hanoi, told a Senate committee that American prisoners had set up an elaborate system to account for inmates in all prisons throughout North Vietnam.
When North Vietnam released 591 prisoners as part of the Paris peace accords, he said, all those who had been identified by the other prisoners were let go. 
""I have no evidence of anybody that was left intentionally or is alive,"" he added.
He stressed, however, that his knowledge related only to prisoners in North Vietnam, not those in Laos.
The retired admiral's testimony before the Senate Select Committee on P.O.W.-M.I.A. 
Affairs may help debunk persistent reports that Americans soldiers or aviators were left when the United States withdrew. 
Mr. Stockdale was the leader of Americans held at Hoa Lo, known as the ""Hanoi Hilton.""
Mr. Stockdale is given another measure of credibility because of his affiliation with Mr. Perot, one of the strongest advocates for missing American prisoners in Southeast Asia. 
His wife, Sybil Stockdale, was a founder of the National League of Families, the largest organization of family members of missing servicemen.
Â 
--------------------
China to Aid Search
BEIJING, Dec. 
3 (AP) -- China has agreed to receive a team that will investigate reports of American servicemen listed as missing or held prisoner in the Korean and Vietnam wars, Senator David L. Boren said today.
The Oklahoma Democrat said Chinese officials will allow investigators to visit sites in China where American pilots were reported to have crash-landed in the Vietnam War.
Washington has no evidence that any prisoners remain alive in China, said Mr. Boren, who is visiting China.
But intelligence informants have said American prisoners in the Korean War were taken to China. 
Beijing says that 21 American soldiers came at their own request and that two remain. 
One, identified as James Veneris, has taught English at a Chinese university.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
Beijing Puts Khmer Rouge on Shorter Leash.txt,"ï»¿
As a new round of civil war threatens Cambodia, diplomats here say China finds itself in the awkward position of wanting the Khmer Rouge troops it supports neither to win nor lose.
The Khmer Rouge, which brutally ruled the country from 1975 until the Vietnamese invasion in December 1978, is China's most dependable ally in the region, partly because no one else wants anything to do with the Khmer Rouge.
Yet Western and Asian diplomats say China would be alarmed if the Khmer Rouge enjoyed a major string of victories after the Vietnamese troop withdrawal under way. 
In part, the reason has to do with China's suppression of the democracy movement in June, which created a storm of outrage that has made Beijing reluctant to face a new barrage of international criticism for pushing the Khmer Rouge back toward power.
'Watching and Waiting'
China will continue to arm the Khmer Rouge, but may counsel it toward restraint on the battlefield, diplomats say. 
It is unclear how effective China's counsels would be, or how far China would go to avoid a Khmer Rouge victory, but the diplomats say there are signs of renewed flexibility in its Indochina policy as the principal arena of confrontation moves from the conference room to the front lines.
''China is waiting and watching,'' an Asian diplomat said. 
''This is the chance to test each faction on the battlefield.''
The diplomat and others interviewed said China's principal goal was not to secure a military victory, but to put sufficient pressure on the Vietnamese-backed Government in Cambodia that it will return to peace talks in about six months willing to make further compromises with the Khmer Rouge.
At the same time, specialists say, China will not allow relations with Vietnam to improve. 
Only when there is a settlement of the Cambodia issue will diplomatic and economic relations be normalized, the Chinese have told diplomats here.
China regards the future of Cambodia as a matter of paramount importance, partly because of a traditional hostility between China and Vietnam. 
With Vietnam enjoying support from the Soviet Union, China is alarmed at the possibility of its Soviet-backed rival forming a sphere of influence on its southern flank.
Â 
Skepticism of Vietnam Pullout
Reflecting the official line here, the Chinese press has been extremely skeptical over taking the Vietnamese troop withdrawal at face value. 
A report carried today by the official New China News Agency said that while ''several groups of Vietnamese troops'' rode to gathering points in army trucks, no tanks or heavy weapons were seen. 
The implication was that the tanks and tank crews were remaining behind.
On Thursday, China's Foreign Ministry spokesman said that Vietnam was not sincere in searching for a political settlement and was ''playing tricks'' on the international community by pretending to withdraw.
Early this year there was some sign of a diplomatic warming, when the Vietnamese Vice Foreign Minister came to Beijing twice for talks. 
But the Chinese Foreign Ministry concluded that the Vietnamese official was unwilling to compromise, and so it decided not to allow further such visits.
The distrust of Vietnam, coupled with the feeling that the Khmer Rouge is the most effective fighting force against Vietnam, seems to be the primary explanation for China's ties with the Khmer Rouge. 
The embarrassment about being associated with a group held responsible for more than a million deaths under its rule seems to have grown in recent years.
''They don't love the Khmer Rouge for itself,'' a Western diplomat said. 
''They love the fact that each dollar they put in Khmer Rouge hands produces a dead Vietnamese.''
Â 
No Reduction in Aid
Because ties to the Khmer Rouge are also based on its past friendship and loyalty to senior Chinese leaders, diplomats say, China's economic difficulties will not mean a reduction in aid to the Khmer Rouge and to the other two anti-Government factions: one led by Prince Norodom Sihanouk and the other by Son Sann, a former Prime Minister.
China has complained privately to some Asian diplomats that the Soviet Union is increasing its military assistance to the Hun Sen Government now in power in Cambodia, and so some diplomats expect that China could provide a matching increase in funds for the three Cambodian guerrilla factions.
Chinese officials earlier this month called in officials from Asian countries for a meeting on Cambodia, and some were struck by one sign of movement in China's position. 
A year ago, China was unhappy about some wording in a United Nations resolution that in an indirect swipe at the Khmer Rouge called for a ''nonreturn to the universally condemned policies and practices'' of the recent past. 
But in the meeting this month, China seemed content with such wording.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
Cambodian Factions to Meet Today.txt,"ï»¿
A new round of talks on Cambodia begins here on Monday, with at least limited success already insured for their Japanese hosts who have stepping gingerly into regional peacemaking for the first time.
The leaders of all four rival Cambodian factions will attend and all of them have already initialed a memorandum, including a symbolic cease-fire agreement, worked out by the Defense Minister of Thailand, Gen. Chavalit Yongchaiyudh.
While American officials are said to want a stronger document, one calling for a comprehensive settlement and providing a greater monitoring and administrative role for the United Nations, Washington will applaud anything that looks like an agreement.
The memorandum, according to Thai officials and Western and Asian diplomats, calls for an immediate cease-fire, military ''self-restraint'' and a cessation of foreign military aid, though without effective monitoring. 
That lack will render it largely symbolic. 
In any case, the rainy season has already imposed a sort of cease-fire.
A Transitional Council
The agreement also calls for the formation of a Supreme National Council made up of six representatives from each of the two rival governments. 
The council would serve as the repository of Cambodian sovereignty until a new government is formed, presumably after a final settlement and elections.
By itself, the agreement will do little to end the war in Cambodia but, unless derailed here, it will represent the first agreed understanding among all the four factions. 
And it does resolve a few vexing issues.
Prime Minister Hun Sen of Cambodia, whose Government was installed by Vietnam when it drove the Khmer Rouge out of Cambodia in January 1979, is opposed by an uneasy, three-part coalition: the Khmer Rouge guerrillas, who are supported and armed by China, and two non-Communist factions, headed by Prince Norodom Sihanouk and a former Sihanouk Prime Minister, Son Sann, backed by China and the United States.
Â 
Sihanouk and Hun Sen to Sign
While all four factions are represented here and separately initialed General Chavalit's memorandum, Japanese officials say it will be signed by Mr. Hun Sen and Prince Sihanouk as leaders of the two rival governments.
That fact itself, combined with equal representation for the two sides on the Supreme National Council, represents a concession on the part of China and the Khmer Rouge, which have long insisted on equal representation for all four factions.
Vietnam and Mr. Hun Sen have opposed equal treatment for the Khmer Rouge, which was responsible for the deaths of more than a million Cambodians between April 1975 and December 1978, when Vietnam invaded Cambodia. 
But Hanoi and Phnom Penh have agreed that the Khmer Rouge can participate on the Council as members of the opposition coalition headed by Prince Sihanouk.
The Thais have long been pushing for a step-by-step settlement to Cambodia, beginning with a cease-fire, an approach criticized by Washington, which fears it favors Mr. Hun Sen.
The Japanese have been pushing quietly for a diplomatic role on Cambodia, in part as a sign of their postwar stature and influence. 
They are also expected to pay the bulk of the costs.
Thai officials say that Tokyo urged them to invite Japan to play host to this meeting. 
The Thais, whose boom is largely dependent on Japanese investment and aid, were happy to oblige, at the same time co-opting the Japanese.
But this meeting might not have happened without progress in other forums concerned with Cambodia. 
The five permanent members of the United Nations Security Council - Britain, China, France, the Soviet Union and the United States - have been meeting regularly on Cambodia. 
Also, China has opened talks with Vietnam, after a long period of inaction, on the level of Deputy Foreign Ministers.
Dinh Ngo Liem of Vietnam met his Chinese counterpart, Xu Dunxin, in Beijing in early May. 
Another meeting is scheduled. 
Western and Asian diplomats suggest that the new flexibility on the part of Mr. Hun Sen and the Khmer Rouge stems from these meetings.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
Cambodian Rivals Said to Accept U.N. Peace Plan.txt,"ï»¿
Today also marked the first meeting of an official American representative, John Monjo, Ambassador to Indonesia, with Hun Sen, the Prime Minister of the Vietamese-installed Government in Cambodia. 
Washington announced last week that it would begin direct talks with Phnom Penh, a dialogue that was begun last week at the ambassadorial level in Vientiane, Laos.
Mr. Hun Sen, speaking after a 40-minute meeting with Mr. Monjo, said that he accepted the United Nations plan as ''the framework for a comprehenive solution.''
He said that the plan, which calls for thousands of administrators under United Nations auspices leading to new elections in Cambodia, had to be elaborated upon in negotiations, a fact also emphasized by Mr. Alatas and the French co-chairman, Edwige Avice, a Deputy Foreign Minister, in their formal opening remarks.
But Mr. Hun Sen said he was now optimistic that the talks here, which quickly broke into meetings of the co-chairmen with the individual factions, would have a successful outcome.
He said the meeting with Mr. Monjo was a very good and important one. 
''It is a first meeting but very valuable,'' he said. 
''We have the same intention, the same understanding with the Americans.''
Mr. Monjo said only he brought ''no special messages - just exchanging views.''
The United Nations plan has already been accepted by the three-party opposition coalition fighting Mr. Hun Sen's Vietnamese-installed Government. 
The coalition, led by Prince Norodom Sihanouk, is made up of his followers, those of another non-Communist, former Prime Minister Son Sann, and the Communist Khmer Rouge, during whose rule, from 1975 to 1979, more than one million Cambodians died by execution and famine. 
Vietnam invaded the country and installed a pro-Hanoi, anti-Khmer Rouge Government in 1979.
Khieu Samphan, the Khmer Rouge representative and vice president of the anti-Government coalition, said today that he was also optimistic. 
''Peace is closer than ever,'' he said. 
He had ''no reservations'' about the United Nations plan. 
The plan would establish a national governing council, under United Nations supervision, to administer the country. 
The United Nations would also set up and monitor free elections, and sending a military force as peacekeepers. 
The four factions must negotiate the details of the plan, and it is expected that there will be disagreements.
Khieu Samphan's comments were echoed by Prince Norodom Ranariddh, Prince Sihanouk's son and representative here.
Â 
Sihanouk's Status Unclear
But the status of Prince Sihanouk, who said in a statement Saturday that he was too ill to come here and who was communicating with Jakarta by fax, remained unclear, adding a note of uncertainty.
Senior Western and Asian diplomats said today that the Chinese Prime Minister, Li Peng, had urged Prince Sihanouk to come here, but that the Prince refused at the last minute, because he was offended by some remarks of Mr. Hun Sen.
The diplomats said that Prince Sihanouk and the Chinese Deputy Foreign Minister, Qi Huaiyuan, then had a long and bitter discussion, which ended with the Prince saying that he was packing his bags to go to his second home, in Pyongyang, North Korea.
China has been the main sponsor of all the opposition factions and the sole sponsor of the Khmer Rouge. 
Prince Sihanouk is provided a home in the old French Legation building in Beijing.
Â 
A Break From Diplomacy
Prince Sihanouk remained today in Beijing. 
But in a hallway interview, Prince Ranariddh said that his father had decided to take ''a five- or six-month break'' from diplomacy because of his health, and would issue a statement to that effect today in Beijing. 
No statement was issued, however, and some diplomats suggested that if this meeting turns out to be a success, Prince Sihanouk may yet arrive.
Although Prince Sihanouk has said in the past that he would not serve as chairman of an interim national leadership, the Supreme National Council, he is now said to want the position.
In a statement Saturday, Prince Sihanouk said the coalition would accept a council made up of six members from the coalition and six from Phnom Penh, as Mr. Hun Sen has demanded. 
The Khmer Rouge had been demanding that all four factions have an equal number of seats, giving the coalition three-quarters of the seats.
In his statement, the Prince said the council could elect a chairman as a 13th member. 
But Mr. Hun Sen is said by diplomats to be insisting that Prince Sihanouk, if he is to take part in the council, be one of the 12.
Â 
A Demand for Consensus
Diplomats said, however, that Mr. Hun Sen is willing to accept Prince Sihanouk's demand that the council operate by consensus, rather than by majority voting.
Still, Prince Sihanouk has been reluctant to allow himself to be put on the same footing with Mr. Hun Sen, only 39 years old, whom he has called ''a Vietnamese valet.''
Mr. Alatas, appearing buoyant after a process in which he has been so intimately involved, said that the bilateral meetings would continue Monday ''to start talking about forming the Supreme National Council,'' a necessary first step for peace.
After getting the factions' commitment to the United Nations framework, he said the main priority of the meeting will be to ''finalize the process of the formation'' of the Supreme National Council, including ''its nature, composition, functions and related aspects.''
If that could be accomplished here, senior Asian diplomats said, the peace talks might then return to Paris, where a formal international conference on Cambodia broke up in disarray in August 1989.
The talks here are taking place under the aegis of that conference. 
''If nothing else goes wrong, which it probably will,'' one Asian diplomat said, the conference could be reconvened in late October.
The United Nations plan envisages the Supreme National Council taking Cambodia's seat in the United Nations in the upcoming General Assembly. 
It would then cede to a special United Nations authority the right to ''supervise or control'' the five key ministries of state - foreign affairs, interior, finance, defense and information.
The United Nations authority would in this way insure the neutrality of the Government in the year or so before new elections can be organized and held.
Diplomats say the five permanent members foresee the appointment of United Nations officials at the top levels of the ministries, working through Cambodian bureaucrats of both rival administrations. 
If the Council agrees on particular decisions, the United Nations would go along. 
If not, the United Nations officials would decide.
''But how does Hun Sen understand 'supervise or control'?'' an Asian diplomat said. 
This was the thorny sort of issue still to be worked out, he said.
The United Nations would also be responsible for monitoring a cease-fire and the cessation of external aid to the combatants, for disarming the rival armies and repatriating the 300,000 or so Cambodians displaced after the Vietnamese invasion.
Phnom Penh is reluctant to cede too much control to the United Nations, but it may do so if it does not mean the dismantling of the administration that is now in place. 
Cambodian officials say dismantling would allow the Khmer Rouge to intensify the war, but some admit it would also undermine the Government's chances in an election.
Mr. Hun Sen has worries, too, that the Khmer Rouge will take advantage of a cease-fire and continue its war for power by political as well as military means. 
The Khmer Rouge might not hand in all its arms to the United Nations, for instance, or tell many of its fighters to go underground rather than group themselves in cantonments for disarming, as the United Nations plan suggests.
Â 
The U.N. Plan For Cambodia
Â 
These are the major requirements of the United Nations peace plan under which the Vietnamese-backed Cambodian Government would share power with three guerrilla groups it has been fighting for 11 years.
Â 
U.N. administration of the Cambodian Government until elections are held.
Â Â U.N. supervision of disarmament of rival factions.
Â 
U.N. supervision of elections.
Â 
Human rights guarantees.
Â 
International guarantees regarding the neutrality of a restructured Cambodia.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
China and Indonesia Sign a Pact To Restore Ties Severed in 60_s.txt,"ï»¿
China and Indonesia signed an agreement today to restore diplomatic relations next month, ending a 23-year rift between the two most populous nations in East Asia.
Both sides described the agreement as of ''historic significance'' and said they hoped it would contribute to peace and stabilityI throughout the Pacific region. 
The new agreement is expected to lead to increased trade between the two countries, to further discussions aimed at resolving the war in Cambodia, and to an accord to establish diplomatic relations between China and Singapore.
Prime Minister Li Peng will travel to the Indonesian capital, Jakarta, to mark the resumption of relations on Aug. 
8. For him and for China's diplomacy as a whole, the agreement is a rare bright spot in a year that has been characterized by isolation and invective since the army crackdown against the democracy movement in June 1989.
The accord also puts the seal on China's repudiation of its onetime program to export revolution to other parts of Asia and the world. 
It was accusations of support by China for a Communist-backed rebellion in Indonesia in 1965 that led to relations being suspended two years later. 
Until then, China and Indonesia had enjoyed close relations.
Â 
'Turning of a New Page'
It was partly because of the rift with Indonesia that China reconsidered its attempts to spread revolution, and today Foreign Minister Qian Qichen seemed much more interested in exporting goods than revolution. 
He said at a news conference that he had no idea whether Indonesia still had a Communist party - and his tone seemed to imply that he did not much care, either.
Ali Alatas, Indonesia's Foreign Minister, said at the news conference that a new trade agreement was already under way to bolster two-way trade, which was valued at $920 million last year.
''I believe it is no exaggeration that what we have achieved today is a significant development and in fact signifies the turning of a new page in our bilateral relationship,'' Mr. Alatas said.
People's Daily had earlier called Mr. Alatas's visit - the first by an Indonesian Foreign Minister since relations were suspended in 1967 - a ''great event.''
The Chinese press has not explained the reason for the rupture of relations in the 1960's, attributing it only to ''some complicated historical causes.''
Â 
Surprise Meeting in Tokyo
The agreement today comes after more than 16 months of negotiations that followed a surprise meeting between Mr. Qian and President Suharto of Indonesia in Tokyo on Feb. 
23, 1989. 
The two men then agreed to work toward normalization of relations.
Singapore is widely expected to follow Indonesia in establishing formal ties with Beijing. 
Singapore already has good ties with Beijing, and runs a trade office here. 
But it has not formally established relations with either China or Taiwan.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
CHINA AND VIETNAM REPORTED IN PACT.txt,"ï»¿
China and Vietnam have agreed on a broad outline for a Vietnamese troop withdrawal from Cambodia by the end of September, a Vietnamese diplomat here said today.
Several important aspects of the plan have yet to be decided, and rival Cambodian factions apparently still must reach some agreement among themselves. 
But the reported accord between Vietnam and China appears to bring Southeast Asia a step closer to resolution of one of its most persistent and bloody disputes, the one arising from the 10-year Vietnamese intervention in Cambodia.
The agreement came last week in meetings in Beijing between a Vietnamese First Deputy Foreign Minister, Dinh Nho Liem, and ranking officials of the Chinese Foreign Ministry. 
The visit had been intended to be secret, but officials on both sides later confirmed that it had taken place without detailing the nature of the talks.
The Vietnamese diplomat, who asked not to be identified by name, said that the two sides had agreed that all countries should steadily reduce their support to Cambodian guerrilla groups. 
Such aid would completely end in September when Vietnam completes its troop withdrawal.
Â 
'International Body' Urged
That would mean that China would stop its support for the Khmer Rouge, militarily the strongest of three groups fighting against the Vietnamese-backed Government in Cambodia.
Prime Minister Li Peng of China and his Foreign Minister, Qian Qichen, had previously indicated that aid to Cambodian factions could be reduced during Vietnam's troop pullout. 
But the agreement appears to go further than previous comments in guaranteeing that as Vietnam withdraws, China will cut off its support to the Khmer Rouge.
Chinese officials had refused to discuss the content of last week's talks about Cambodia.
In addition, the Vietnamese diplomat said China and Vietnam had agreed that ''an international body'' should be sent to Cambodia to serve three purposes: monitor Vietnam's troop withdrawal, insure that other countries stop their support of opposition factions and supervise the selection of a new Government.
In Washington, the State Department said it had no independent confirmation and noted that it came from ''diplomats,'' not official statements by China or Vietnam. 
Charles E. Redman, the State Department spokesman, said the United States was encouraged by the ''very intensive level of diplomatic activity'' surrounding Cambodia, but he would not comment on the report from Beijing.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
China_s Premier Sees Progress on Cambodia.txt,"ï»¿
Prime Minister Li Peng said today that significant progress had been made in reaching a political settlement in Cambodia and that Beijing was ready to repair ties gradually with Vietnam.
The Prime Minister, speaking at a reception on the eve of China's National Day celebrations, held out hope for an early settlement of the 11-year Cambodian civil war.
''We hope that Vietnam and the Phnom Penh regime will show sincerity by taking positive steps towards the political settlement of the Cambodian question,'' he said. 
''Along with such a settlement, China is ready to gradually improve its relations with Vietnam.''
Chinese-Vietnamese relations became hostile when Hanoi invaded Cambodia in 1978 and early the next year set up a pro-Hanoi Government there to replace the Khmer Rouge, which China had backed; China and Vietnam fought a brief border war in 1979.
Today China backs a coalition of three guerrilla groups, including the Khmer Rouge, that oppose the Hanoi-backed Phnom Penh Government in the Cambodian civil war.
Vietnam's Communist Party chief, Nguyen Van Linh, visited China early this month, and Vice Prime Minister Vo Nguyen Giap went to Beijing this month to attend the Asian Games there.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
"For Khmer Rouge, There_s Gold in the Ruby Mines.txt","ï»¿
The Khmer Rouge is earning tens of thousands of dollars a week by selling passes to people who want to mine rubies in areas it controls inside Cambodia, numerous Cambodians interviewed in this refugee camp just inside Thailand say.
Several thousand Cambodians, Thais, Burmese and Laotians pay the Khmer Rouge 1,000 Thai baht, or about $40, to purchase passage along a narrow, mine-strewn path from Thailand into Cambodia and a week's permission to dig for gemstones along three hills now known as Phnom Pech, or Diamond Mountain.
The path runs from an area just north of Bo Rai in southeastern Thailand to an area the refugees say is northwest of Battambang city and once was called Phnom Tadeth. 
To travel it takes a day and a night, they say, because the path is so narrow that miners going in opposite directions must embrace one another when they pass to avoid touching off the land mines sown everywhere along the border. 
Once in the mining area, increasingly few people venture out to cut firewood, because of mines and claymores hidden in the trees.
A ruby-mining area popular in the past, near Pailin, also close to the Thai border, is too dangerous to approach, the refugees say. 
Khmer Rouge soldiers, these refugees say, keep a reasonably strict discipline, verifying tickets at three checkpoints near the mines. 
The soldiers have never tried to steal rubies from them, said two of the refugees, Nuon Sokha and Chhom Sarin. 
The soldiers are forbidden to dig for rubies themselves, Nuon Sokha said, but a few evidently do so anyway, because they sometimes offer to sell rubies to the miners when no officer is present.
Another refugee, Chan Ny, said that the discipline can break down. 
Khmer Rouge soldiers sometimes made him and his friends pay twice.
Nuon Sokha said he found at least $200 worth of rubies every week, and sometimes uncovered extremely valuable stones, which could be sold in Bo Rai.
Â 
'10,000 People' Digging
''People are traveling along the path into and out of Cambodia all day and all night,'' he said. 
On the three hills, he and others said, there are at times ''10,000 people'' digging for rubies. 
Even cutting his estimate by a factor of five, 2,000 miners would bring in $80,000 a week to the Khmer Rouge, which has been receiving most of its aid, in food, arms and cash, from China.
In a settlement to the long Cambodian conflict now being discussed, diplomats say China has agreed to cut its supplies to the Khmer Rouge and the other resistance factions as the Vietnamese complete their troop withdrawal from Cambodia, which they have occupied since late 1978. 
The Vietnamese overthrew the Khmer Rouge Government led by Pol Pot. 
Under his rule at least one million Cambodians died from starvation, disease and overwork and in mass executions.
The Khmer Rouge is known to have stockpiled a substantial amount of Chinese arms throughout Cambodia. 
Even if the Chinese and their conduits, the Thais, were to cut off the Khmer Rouge entirely, which many Western and Asian diplomats doubt, a steady source of income from businesses like ruby mining and thatch manufacture would enable the guerrilla faction to buy Chinese arms and ammunition.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
Gains Toward Cambodia Settlement Are Seen.txt,"ï»¿
Diplomats and Thai officials say the necessary elements for a comprehensive settlement in Cambodia are rapidly coming together.
The assessment is based on several developments: the first direct talks between the Vietnamese and the Chinese in more than nine years, the first visit of a Thai foreign minister to Vietnam in more than 12 years and the first summit meeting, expected next summer, between the Soviets and the Chinese in nearly 30 years.
''Everyone has pretty much decided that Vietnam has made its decision to extricate itself from Cambodia and get on with the business of rebuilding its economy,'' a Western diplomat said. 
''A lot of the old taboos are falling, the Soviets want to get on with the Chinese, and everyone is positioning themselves for new diplomatic and trading relationships.''
Over the weekend, the Vietnamese Deputy Foreign Minister, Dinh Nho Liem, flew to Beijing for the first direct talks between the two nations since Mr. Liem helped to negotiate a cease-fire in their February 1979 border war. 
That short, sharp clash was a self-described effort by the Chinese ''to teach Vietnam a lesson'' after Hanoi, supported by Moscow, invaded Cambodia in late 1978 and overthrew China's ally, the Khmer Rouge Government of Pol Pot.
Under the Khmer Rouge, who took power in April 1975, more than one million Cambodians died from starvation, disease, party purges and mass executions.
Â 
China to Cut Support
China has been the prime supporter of the Khmer Rouge, which it revived as a way to harass Vietnam and its patron, Moscow.
But in December discussions with the Soviet Union, China agreed to cut its support for the Khmer Rouge in step with Vietnamese troop withdrawals. 
The Chinese insisted on a firm timetable for final withdrawal. 
With Soviet prodding, Hanoi announced this month that its troops would be out of Cambodia altogether by September if a political settlement could be reached by then, a declaration quickly welcomed in Beijing.
In late December, the Vietnamese said they had completed the withdrawal of 50,000 soldiers in 1988, with 50,000 remaining. 
Western diplomats believe the Vietnamese still have about 85,000 troops in Cambodia.
As a sign of the political delicacy of the meeting between ancient enemies, Mr. Liem's visit to Beijing was announced by neither side at first. 
The experienced Mr. Liem, Vietnam's Ambassador in Moscow for four years, is thought to be preparing a visit to Beijing by Foreign Minister Nguyen Co Thach, perhaps before a regional conference on Cambodia scheduled for Jakarta, Indonesia, in late February.
Asian diplomats say the Soviets and the Chinese would like the major aspects of Cambodian deal settled by their scheduled summit meeting, the first since 1959.
Â 
Thais Promise Aid to Hanoi
The other related development in regional relations was exemplified by the sudden visit to Hanoi of the Thai Foreign Minister, Siddhi Savetsila. 
In four days of meetings with Mr. Thach that ended Thursday, Mr. Siddhi, accompanied by more than 60 businessmen and academics, announced that Thailand looked forward, after a Cambodia settlement, to helping Vietnam out of its economic morass.
Mr. Siddhi had regularly discouraged the business-oriented Prime Minister of Thailand, Chatichai Choonhavan, from opening relations with Vietnam. 
And he constructed what has been firm Thai policy, to which the Association of Southeast Nations has sometimes unhappily conformed: support for China and the Khmer Rouge and a boycott of Vietnam until it ended its occupation.
But a decade later, with less ideological leaderships in Moscow, Beijing and Hanoi and the boycott slipping, Thailand has clearly decided ''not to miss the train,'' a Western diplomat said.
Difficulties remain about the shape of an interim Cambodian government that is to oversee new elections. 
The Chinese have agreed that the Khmer Rouge should not return to sole power, but it is unclear how that can be insured or how a new civil war can be avoided.
Â 
Progress on a Formula
But here, too, there has been progress. 
In his talks with Mr. Siddhi, Mr. Thach said Vietnam agreed to an international control ''mechanism'' in Cambodia, an undefined compromise between the larger international peacekeeping force Thailand and China wanted and the smaller ''control commission'' Hanoi favored. 
They also agreed that the Jakarta talks should be expanded to include the Soviet Union and China.",6,khmer,HWBUSH,HW Bush (1989-1992),CATEGORY_9,"khmer, cambodia, rouge"
