file,file_path,avg_positive,avg_negative,positive_count,negative_count,num_sentences
102 Trapped in Flooded Mine in China.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/102 Trapped in Flooded Mine in China.txt,0.8799843788146973,,1,0,1
"110 Million Surfers Can Buy Sex and Drugs, but Reform Is Still Illicit.txt","/content/drive/MyDrive/extracted_files/gwbush_01-08/110 Million Surfers Can Buy Sex and Drugs, but Reform Is Still Illicit.txt",0.923751984323774,0.9631157382842033,21,31,52
"1945_s Legacy_ A Terror Defeated, Another Arrives.txt","/content/drive/MyDrive/extracted_files/gwbush_01-08/1945_s Legacy_ A Terror Defeated, Another Arrives.txt",0.9335779434158689,0.9510751502080397,21,22,43
2 Arrested in Case on Selling Encryption Device.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/2 Arrested in Case on Selling Encryption Device.txt,0.9628782272338867,0.9365001171827316,3,12,15
2 Chinese Automakers Uniting Operations.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/2 Chinese Automakers Uniting Operations.txt,0.9371775984764099,0.8785889546076456,11,6,17
2 More Cities In China Hit By Protests Of the West.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/2 More Cities In China Hit By Protests Of the West.txt,0.8862028270959854,0.9290197789669037,4,12,16
"25 Years Later, Rumsfeld_s Dream Is Alive Again.txt","/content/drive/MyDrive/extracted_files/gwbush_01-08/25 Years Later, Rumsfeld_s Dream Is Alive Again.txt",0.9335280149071304,0.9712144404649734,27,40,67
3 Dead and 300 Hurt In Quake in China.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/3 Dead and 300 Hurt In Quake in China.txt,0.5511184930801392,0.9935345734868731,1,7,8
38 Die in Methane Blast At a Coal Mine in Siberia.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/38 Die in Methane Blast At a Coal Mine in Siberia.txt,0.8376437127590179,0.968022845685482,4,24,28
A Carbon Cap That Starts in Washington.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/A Carbon Cap That Starts in Washington.txt,0.9450162649154663,0.9650373054402215,13,28,41
A Chinese Girl_s Diary Builds A Bridge Out of Rural Poverty.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/A Chinese Girl_s Diary Builds A Bridge Out of Rural Poverty.txt,0.9148637038288694,0.9404276584057097,33,47,80
"A Chinese Hotel, Full of Proud American Parents.txt","/content/drive/MyDrive/extracted_files/gwbush_01-08/A Chinese Hotel, Full of Proud American Parents.txt",0.9643991344115314,0.9437510346372923,34,24,58
A Chinese Makeover For Mickey and Minnie.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/A Chinese Makeover For Mickey and Minnie.txt,0.9953515728314718,0.9535234371821085,3,3,6
"A Chinese Tycoon, Inspired To Create Police Technology.txt","/content/drive/MyDrive/extracted_files/gwbush_01-08/A Chinese Tycoon, Inspired To Create Police Technology.txt",0.9835874289274216,0.9835747480392456,8,5,13
A Chinese University Removes a Topic From the Closet.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/A Chinese University Removes a Topic From the Closet.txt,0.9369419046810695,0.962890180448691,21,24,45
A Chinese Village Is Rocked by the Coal Industry.txt,/content/drive/MyDrive/extracted_files/gwbush_01-08/A Chinese Village Is Rocked by the Coal Industry.txt,0.9495343320509967,0.9520963152934765,34,58,92
"A Continent Divided by Water, Now United by Air.txt","/content/drive/MyDrive/extracted_files/gwbush_01-08/A Continent Divided by Water, Now United by Air.txt",0.9662774151021783,0.9636161816425812,22,39,61
