file,file_path,avg_positive,avg_negative,positive_count,negative_count,num_sentences
1 BILLION IN SALES OF HIGH-TECH ITEMS TO CHINA BLOCKED.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/1 BILLION IN SALES OF HIGH-TECH ITEMS TO CHINA BLOCKED.txt,0.9119341572125753,0.982061191841408,9,27,36
12 Intellectuals Petition China On Corruption.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/12 Intellectuals Petition China On Corruption.txt,0.9731332957744598,0.951248824596405,10,26,36
16 Foreign Law Firms Cleared To Open Offices in China.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/16 Foreign Law Firms Cleared To Open Offices in China.txt,0.9620195190111797,0.935991145670414,15,16,31
18 Chinese Are Held in Ring To Smuggle Human Cargo.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/18 Chinese Are Held in Ring To Smuggle Human Cargo.txt,0.9813562333583832,0.9553606919944286,4,16,20
1_1_00_ AROUND THE WORLD_Ancient Temple in Tokyo Rings In Just a New Year.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/1_1_00_ AROUND THE WORLD_Ancient Temple in Tokyo Rings In Just a New Year.txt,0.9480098618401421,0.9046787656843662,27,16,43
2 Republican Senators Caution Hillary Clinton on China Trip.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/2 Republican Senators Caution Hillary Clinton on China Trip.txt,0.9065924882888794,0.9552958661859686,4,11,15
200 Killed in Quake in Southwest China.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/200 Killed in Quake in Southwest China.txt,,0.9364141722520193,0,6,6
200 Vietnamese Refugees Flee Detention Camp in Hong Kong.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/200 Vietnamese Refugees Flee Detention Camp in Hong Kong.txt,0.9228484034538269,0.9531552599322412,7,31,38
3 Chinese Attacked On Bus in Slovakia.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/3 Chinese Attacked On Bus in Slovakia.txt,,0.9618935406208038,0,10,10
64 Are Indicted as Gangsters In Chinatown.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/64 Are Indicted as Gangsters In Chinatown.txt,0.8519617438316345,0.9702483251177031,5,29,34
A China Dissident_s Ordeal_ Back to the Mental Hospital.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A China Dissident_s Ordeal_ Back to the Mental Hospital.txt,0.8602447463915899,0.9672061562538147,13,45,58
A Chinese Bias Against Girls Creates Surplus of Bachelors.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A Chinese Bias Against Girls Creates Surplus of Bachelors.txt,0.9661411762237548,0.9352354894984852,30,44,74
A Chip Plant That Is Full Of Symbolism.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A Chip Plant That Is Full Of Symbolism.txt,0.9553788931746232,0.9268751442432404,19,14,33
A Designer_s Careful Leap to Success.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A Designer_s Careful Leap to Success.txt,0.9466820517007042,0.9252867008510389,34,19,53
A DIRECTORY OF CRUISES WORLDWIDE_The Yangtze_s Gorges.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A DIRECTORY OF CRUISES WORLDWIDE_The Yangtze_s Gorges.txt,0.9682637708527702,0.9340702817763811,63,81,144
A Forum on Women Is Vexed By Chinese Security Officials.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A Forum on Women Is Vexed By Chinese Security Officials.txt,0.961951059954507,0.9372666031122208,7,20,27
A Good-Humored Chinese Premier Arrives for U.S. Visit.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A Good-Humored Chinese Premier Arrives for U.S. Visit.txt,0.9623512483778454,0.9700004085898399,21,16,37
A HALF-CENTURY IN CHINA_The Bright Young Stars of China_s Future.txt,/content/drive/MyDrive/extracted_files/clinton_93-00/A HALF-CENTURY IN CHINA_The Bright Young Stars of China_s Future.txt,0.982472463087602,0.9259270429611206,11,3,14
