file,file_path,avg_positive,avg_negative,positive_count,negative_count,num_sentences
$320 Million Facility to Stoke China_s Musical Theater Industry.txt,/content/drive/MyDrive/extracted_files/obama_09-16/$320 Million Facility to Stoke China_s Musical Theater Industry.txt,0.9757424430413679,0.9726131359736124,11,3,14
140 Characters and a Wide Range of Meanings.txt,/content/drive/MyDrive/extracted_files/obama_09-16/140 Characters and a Wide Range of Meanings.txt,0.9400933252440559,0.9732015419006348,9,25,34
180 Hidden Miles of Great Wall Found.txt,/content/drive/MyDrive/extracted_files/obama_09-16/180 Hidden Miles of Great Wall Found.txt,0.8786542018254598,0.97282874584198,3,4,7
19 Things That Happened for the First Time in 2016_Turning Points.txt,/content/drive/MyDrive/extracted_files/obama_09-16/19 Things That Happened for the First Time in 2016_Turning Points.txt,0.9421931970609377,0.9480016032854716,73,30,103
1966_ Russia Expels Chinese_IHT Retrospective.txt,/content/drive/MyDrive/extracted_files/obama_09-16/1966_ Russia Expels Chinese_IHT Retrospective.txt,0.973115861415863,0.982652621609824,1,7,8
"2 Countries, 2 Struggles for Justice.txt","/content/drive/MyDrive/extracted_files/obama_09-16/2 Countries, 2 Struggles for Justice.txt",0.917120635509491,0.9814555985586983,12,35,47
2 Ex-Chinese Diplomats Charged With Running Forced-Labor Ring.txt,/content/drive/MyDrive/extracted_files/obama_09-16/2 Ex-Chinese Diplomats Charged With Running Forced-Labor Ring.txt,0.5589619278907776,0.9854801788049585,1,17,18
2 Relatives Of Dissident Get Passports From China.txt,/content/drive/MyDrive/extracted_files/obama_09-16/2 Relatives Of Dissident Get Passports From China.txt,0.8910923997561137,0.9357504695653915,12,12,24
27 Feared Dead In Indonesia Crash.txt,/content/drive/MyDrive/extracted_files/obama_09-16/27 Feared Dead In Indonesia Crash.txt,,0.993566370010376,0,10,10
"3-D Motion Pictures, Rated G Through XXX.txt","/content/drive/MyDrive/extracted_files/obama_09-16/3-D Motion Pictures, Rated G Through XXX.txt",0.9678553442160288,0.9464315686907087,6,7,13
30 Seconds With Mary Lou Retton_ Gleefully Devoted To Motherhood.txt,/content/drive/MyDrive/extracted_files/obama_09-16/30 Seconds With Mary Lou Retton_ Gleefully Devoted To Motherhood.txt,0.9676479377397676,0.991733656043098,41,21,62
35 billion.txt,/content/drive/MyDrive/extracted_files/obama_09-16/35 billion.txt,,0.9827359616756439,0,4,4
"36 Hours in Chengdu, China.txt","/content/drive/MyDrive/extracted_files/obama_09-16/36 Hours in Chengdu, China.txt",0.9809362612119535,0.9291255819170099,41,19,60
36 Hours_ Macau.txt,/content/drive/MyDrive/extracted_files/obama_09-16/36 Hours_ Macau.txt,0.9241219696245695,0.9131277871131896,57,25,82
5 Times Drones Told the Story.txt,/content/drive/MyDrive/extracted_files/obama_09-16/5 Times Drones Told the Story.txt,0.9558002769947052,0.9326606856452094,10,9,19
7 U.S. Solar Panel Makers File Case Accusing China of Violating Trade Rules.txt,/content/drive/MyDrive/extracted_files/obama_09-16/7 U.S. Solar Panel Makers File Case Accusing China of Violating Trade Rules.txt,0.9494022347710349,0.9665225427201454,11,47,58
A 2nd U.S.-Supported Maker Of Solar Panels Will Close.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A 2nd U.S.-Supported Maker Of Solar Panels Will Close.txt,0.8705973327159882,0.9888203089887445,4,22,26
A Banner on a Hong Kong Landmark Speaks of Democracy and Identity.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Banner on a Hong Kong Landmark Speaks of Democracy and Identity.txt,0.9665987412134807,0.8535192268235343,15,14,29
A Battle Over the Buddha_s Childhood Home.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Battle Over the Buddha_s Childhood Home.txt,0.955599049727122,0.9648476880172203,24,29,53
A Beaming Nation With Growing Clout.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Beaming Nation With Growing Clout.txt,0.9344079226255417,0.9435729601166465,20,11,31
A Better Offer From China.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Better Offer From China.txt,0.945656444715417,0.9446081995964051,23,45,68
A Big Fish Seeks to Swim in a Bigger Pond.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Big Fish Seeks to Swim in a Bigger Pond.txt,0.9402360726486553,0.9600156967838606,22,24,46
A Bounty Hunter on Wall St.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Bounty Hunter on Wall St.txt,0.9188536327818165,0.9701831497644123,23,38,61
A Chinese Coal Town on Edge.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Chinese Coal Town on Edge.txt,0.8967715390026569,0.9713157038478291,16,68,84
A Chinese Virtue Is Now the Law.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Chinese Virtue Is Now the Law.txt,0.9117104060509625,0.9011777455990131,17,13,30
A Composer_s Best Friend.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Composer_s Best Friend.txt,0.97503462433815,0.9544995707624099,24,17,41
A Conservation Drive Gains Ground in China.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Conservation Drive Gains Ground in China.txt,0.9536141951878866,0.9766335356980562,15,32,47
A Deal of Much Consequence.txt,/content/drive/MyDrive/extracted_files/obama_09-16/A Deal of Much Consequence.txt,0.9976145029067993,0.9126499891281128,3,1,4
"A Delicacy on Chinatown Plates, but a Killer in Water.txt","/content/drive/MyDrive/extracted_files/obama_09-16/A Delicacy on Chinatown Plates, but a Killer in Water.txt",0.9351287285486857,0.9701158944517374,9,32,41
