file,file_path,avg_positive,avg_negative,positive_count,negative_count,num_sentences
Ad Set in China Is Withdrawn.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/Ad Set in China Is Withdrawn.txt,,0.9960984332220895,0,7,7
"Adrift, Taiwan Loses Urge for Firmer Footing.txt","/content/drive/MyDrive/extracted_files/hwbush_89-92/Adrift, Taiwan Loses Urge for Firmer Footing.txt",0.9405337827546256,0.950159065425396,14,24,38
ADVANCE GUARD FOR THE Y.M.C.A.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/ADVANCE GUARD FOR THE Y.M.C.A.txt,0.9744764119386673,0.9355967870125403,28,13,41
AFRICANS IN BEIJING BOYCOTT CLASSES.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/AFRICANS IN BEIJING BOYCOTT CLASSES.txt,0.8761823574701945,0.9740621993939081,3,12,15
AFRICANS IN CHINA ARE FINALLY FREED.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/AFRICANS IN CHINA ARE FINALLY FREED.txt,0.7070129960775375,0.9544097743928432,4,16,20
"After the Cold War -- Views From Japan_Tokyo in the New Epoch_ Heady Future, With Fear.txt","/content/drive/MyDrive/extracted_files/hwbush_89-92/After the Cold War -- Views From Japan_Tokyo in the New Epoch_ Heady Future, With Fear.txt",0.9113327860832214,0.959251086476823,34,71,105
After the Summit_The Soviets and South Korea_ At Odds Since Day 1.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/After the Summit_The Soviets and South Korea_ At Odds Since Day 1.txt,0.9132918746847856,0.9574049440297213,19,22,41
AFTER THE WAR_Bush May Seek U.N. Ruling For Force in Kurdish Zone.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/AFTER THE WAR_Bush May Seek U.N. Ruling For Force in Kurdish Zone.txt,0.8921835252216884,0.9559813837210337,7,12,19
"Aided by U.S. Waiver, China Launches First Foreign Satellite.txt","/content/drive/MyDrive/extracted_files/hwbush_89-92/Aided by U.S. Waiver, China Launches First Foreign Satellite.txt",0.8649635091423988,0.9222023222181532,8,9,17
AIDS Outbreak Is Forcing China To Confront Virus and Drug Use.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/AIDS Outbreak Is Forcing China To Confront Virus and Drug Use.txt,0.9457113966345787,0.9623091816902161,8,29,37
"ALL P.O.W._s FREED, EX-ADMIRAL SAYS.txt","/content/drive/MyDrive/extracted_files/hwbush_89-92/ALL P.O.W._s FREED, EX-ADMIRAL SAYS.txt",0.8811334541865757,0.9094946980476379,7,9,16
American on Their Own Terms_The Complete Other Side of the World_.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/American on Their Own Terms_The Complete Other Side of the World_.txt,0.9676167955765358,0.9318513854956015,65,39,104
American Women In Final In Soccer.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/American Women In Final In Soccer.txt,0.9729598516767676,0.9898632764816284,22,2,24
An Empire Run Amid Rice Paddies.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/An Empire Run Amid Rice Paddies.txt,0.9801001701599512,0.9676868342436277,39,26,65
Angel Island Journal_Saving Voices of the Other Ellis Island.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/Angel Island Journal_Saving Voices of the Other Ellis Island.txt,0.9405533711115519,0.940357657996091,15,22,37
ANTIQUES_Ancient Chinese Alchemy_ Turning Bronze Into Art.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/ANTIQUES_Ancient Chinese Alchemy_ Turning Bronze Into Art.txt,0.9603045667920794,0.9614386320114136,21,20,41
ANTIQUES_Basins and Bowls From the Palaces Of Imperial China.txt,/content/drive/MyDrive/extracted_files/hwbush_89-92/ANTIQUES_Basins and Bowls From the Palaces Of Imperial China.txt,0.9491225855691092,0.8388627469539642,35,6,41
