file,file_path,avg_positive,avg_negative,positive_count,negative_count,num_sentences
"$1,000 Phone From Huawei Stalks Apple.txt","/content/drive/MyDrive/extracted_files/trump_17-20/$1,000 Phone From Huawei Stalks Apple.txt",0.9628822639070708,0.9753167187013934,29,31,60
13-Year-Olds Arrested Amid Hong Kong Chaos.txt,/content/drive/MyDrive/extracted_files/trump_17-20/13-Year-Olds Arrested Amid Hong Kong Chaos.txt,0.8896713405847549,0.9597554256518682,4,24,28
2 Chinese Nationals Are Accused of Hacking U.S. Systems.txt,/content/drive/MyDrive/extracted_files/trump_17-20/2 Chinese Nationals Are Accused of Hacking U.S. Systems.txt,0.8418883727147028,0.9680345180707101,13,39,52
2 Giant Pandas Arrive to Warm Welcome in Berlin.txt,/content/drive/MyDrive/extracted_files/trump_17-20/2 Giant Pandas Arrive to Warm Welcome in Berlin.txt,0.9818244496981303,0.9334553301334381,15,10,25
2 Possible Paths Emerge in China Trade War.txt,/content/drive/MyDrive/extracted_files/trump_17-20/2 Possible Paths Emerge in China Trade War.txt,0.9112523744503657,0.9323128223419189,24,40,64
3 Major U.S. Airlines Suspend China Flights Over Coronavirus.txt,/content/drive/MyDrive/extracted_files/trump_17-20/3 Major U.S. Airlines Suspend China Flights Over Coronavirus.txt,0.9616853793462118,0.9608900793667497,3,29,32
"346,000 People_s Data, Displayed on a Wall.txt","/content/drive/MyDrive/extracted_files/trump_17-20/346,000 People_s Data, Displayed on a Wall.txt",0.9526869237422944,0.9743375451334061,10,31,41
4 Takeaways from Xi Jinping_s Speech Defending Communist Party Control.txt,/content/drive/MyDrive/extracted_files/trump_17-20/4 Takeaways from Xi Jinping_s Speech Defending Communist Party Control.txt,0.9769703835248947,0.8546059727668762,20,7,27
A Bad Taste.txt,/content/drive/MyDrive/extracted_files/trump_17-20/A Bad Taste.txt,0.9751051406065623,0.955778363979224,30,33,63
A Bar Street Falls Quiet as Beijing Puts a Limit on Foreigners.txt,/content/drive/MyDrive/extracted_files/trump_17-20/A Bar Street Falls Quiet as Beijing Puts a Limit on Foreigners.txt,0.9719403982162476,0.9686259681528265,6,33,39
